goos: darwin
goarch: arm64
pkg: github.com/anacrolix/btree/bench
cpu: Apple M4 Max
BenchmarkErigon/IterateAscBySize/n=10000/google-16     	   16642	     71175 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/google-16     	   17280	     70042 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/google-16     	   17174	     70220 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/google-16     	   16634	     71578 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/google-16     	   16840	     71439 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=10000/google-16     	   16988	     70980 ns/op	  357657 B/op	      20 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/ajwerner-16  	    3906	    300175 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/ajwerner-16  	    3962	    300818 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/ajwerner-16  	    4015	    299313 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/ajwerner-16  	    4008	    299733 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/ajwerner-16  	    3994	    300543 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/ajwerner-16  	    4084	    301087 ns/op	     224 B/op	       1 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/tidwall-16   	    1675	    702646 ns/op	 4101410 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/tidwall-16   	    1705	    706323 ns/op	 4101408 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/tidwall-16   	    1674	    707012 ns/op	 4101409 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/tidwall-16   	    1710	    713430 ns/op	 4101410 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/tidwall-16   	    1585	    717951 ns/op	 4101409 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/tidwall-16   	    1648	    709039 ns/op	 4101409 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/google-16    	    1852	    626352 ns/op	 4101409 B/op	      29 allocs/op
BenchmarkErigon/IterateAscBySize/n=100000/google-16    	    1917	    633543 ns/op	 4101409 B/op	      29 allocs/op
